Timestamp,UW netID,How many late-days do you want to use?,Which homework would you like to apply them to?
1/21/2014 22:08:18,danhipke,1,Homework 2
1/21/2014 22:52:28,clintm3,1,Homework 3
1/22/2014 18:20:55,natsid,1,Homework 2
1/22/2014 18:43:35,octember,1,Homework 2
1/23/2014 2:22:45,clintm3,0,Homework 3
1/23/2014 2:22:52,clintm3,2,Homework 2
1/23/2014 17:31:47,gulati,2,Homework 2
1/23/2014 22:33:18,le,1,Homework 3
1/28/2014 21:37:29,holdennb,2,Homework 3
1/29/2014 22:51:21,ybot1122,1,Homework 2
1/30/2014 1:17:20,arielin,1,Homework 4
1/30/2014 1:19:43,mdrasnin,1,Homework 4
1/30/2014 1:37:00,holdennb,0,Homework 4
1/30/2014 11:16:52,chrisc94,1,Homework 4
1/30/2014 11:30:08,ybot1122,1,Homework 4
1/30/2014 13:56:46,hanmq1,1,Homework 4
1/30/2014 14:24:00,mkibbe,1,Homework 4
1/30/2014 17:24:18,jigile,1,Homework 4
1/30/2014 17:25:18,hfter789,1,Homework 4
1/30/2014 18:00:24,diamantm,1,Homework 4
1/30/2014 19:15:50,jkang331,1,Homework 4
1/30/2014 19:49:18,coralbue,1,Homework 4
1/30/2014 19:50:02,1238327,1,Homework 4
1/30/2014 20:01:35,shaffeja,1,Homework 4
1/30/2014 20:24:27,sfelker,1,Homework 4
1/30/2014 21:02:06,chrisc94,1,Homework 4
1/30/2014 21:04:42,boruil,1,Homework 4
1/30/2014 21:36:03,mdrasnin,0,Homework 4
1/30/2014 21:39:54,garg000d,1,Homework 4
1/30/2014 21:49:52,madonk,1,Homework 4
1/30/2014 21:51:24,bentebbs,1,Homework 4
1/30/2014 21:54:32,clc92,1,Homework 4
1/30/2014 22:35:51,levaris,1,Homework 4
1/30/2014 22:46:41,stein3,2,Homework 4
1/30/2014 22:54:25,tjuve92,2,Homework 4
1/30/2014 23:00:59,raduc,1,Homework 4
1/30/2014 23:13:56,codygibb,1,Homework 4
1/31/2014 16:21:22,aerust,1,Homework 4
1/31/2014 17:23:39,danhipke,1,Homework 4
1/31/2014 20:18:57,chrisc94,2,Homework 4
1/31/2014 21:36:22,jigile,2,Homework 4
2/1/2014 2:20:51,arielin,2,Homework 4
2/1/2014 3:19:18,simone09,2,Homework 4
2/1/2014 18:23:28,avnon,2,Homework 4
2/1/2014 12:07:24,chrisc94,2,Homework 4
2/1/2014 19:51:37,natsid,2,Homework 4
